vaalipiiri,id,sukunimi,etunimi,puolue,ikä,sukupuoli,Toimin tällä hetkellä kansanedustajana.
08 Kaakkois-Suomen vaalipiiri,4844,Aalto,Airi,Perussuomalaiset,57,F,0
12 Oulun vaalipiiri,5750,Aalto,Esa,Vihreä liitto,32,M,0
07 Pirkanmaan vaalipiiri,5535,Aalto,Harri,Vasemmistoliitto,57,M,0
12 Oulun vaalipiiri,4706,Aalto,Matti,Suomen Kommunistinen Puolue,60,M,0
13 Lapin vaalipiiri,5190,Aalto,Pirkka,Suomen Kristillisdemokraatit (KD),45,M,0
11 Keski-Suomen vaalipiiri,5630,Aalto,Touko,Vihreä liitto,30,M,0
08 Kaakkois-Suomen vaalipiiri,4333,Aalto-Partanen,Annika,Vihreä liitto,36,F,0
12 Oulun vaalipiiri,4292,Aaltonen,Henri,Piraattipuolue,37,M,0
07 Pirkanmaan vaalipiiri,4683,Aaltonen,Mikko,Vasemmistoliitto,39,M,0
10 Vaasan vaalipiiri,4890,Aarnos,Eila,Vasemmistoliitto,66,F,0
12 Oulun vaalipiiri,4468,Aavakare,Eila,Perussuomalaiset,62,F,0
11 Keski-Suomen vaalipiiri,6077,Abbey,Paul,Vasemmistoliitto,0,M,0
02 Uudenmaan vaalipiiri,4600,Abrahamsson,Anna,Suomen ruotsalainen kansanpuolue,25,F,0
08 Kaakkois-Suomen vaalipiiri,5145,Abu Taher,Faruk,Vasemmistoliitto,34,M,0
02 Uudenmaan vaalipiiri,4991,Adlercreutz,Anders,Suomen ruotsalainen kansanpuolue,44,M,0
02 Uudenmaan vaalipiiri,4873,af Hällström,Nina,Suomen ruotsalainen kansanpuolue,51,F,0
13 Lapin vaalipiiri,5689,Ahlakorpi,Anni,Vasemmistoliitto,28,F,0
13 Lapin vaalipiiri,4771,Ahlakorpi,Arto,Suomen Kommunistinen Puolue,69,M,0
01 Helsingin vaalipiiri,5379,Ahlavuo,Valentina,Perussuomalaiset,42,F,0
10 Vaasan vaalipiiri,4445,Ahlberg,Rurik,Suomen ruotsalainen kansanpuolue,42,M,0
03 Varsinais-Suomen vaalipiiri,5577,Ahlfors,Jari,Itsenäisyyspuolue,36,M,0
02 Uudenmaan vaalipiiri,5013,Ahlfors,Tiina,Vasemmistoliitto,38,F,0
07 Pirkanmaan vaalipiiri,4511,Ahlqvist,Tero,Perussuomalaiset,48,M,0
08 Kaakkois-Suomen vaalipiiri,4498,Aho,Eero,Kansallinen Kokoomus,31,M,0
04 Satakunnan vaalipiiri,5550,Ahokangas,Petri,Suomen Sosialidemokraattinen Puolue,32,M,0
01 Helsingin vaalipiiri,4668,Ahola,Amos,Piraattipuolue,32,M,0
11 Keski-Suomen vaalipiiri,4638,Ahola,Lotta,Kansallinen Kokoomus,43,F,0
01 Helsingin vaalipiiri,4896,Ahola,Riku,Vasemmistoliitto,34,M,0
07 Pirkanmaan vaalipiiri,5644,Ahonen,Jussi-Pekka,Suomen Sosialidemokraattinen Puolue,32,M,0
02 Uudenmaan vaalipiiri,4489,Ahonen,Lea,Suomen Kristillisdemokraatit (KD),65,F,0
08 Kaakkois-Suomen vaalipiiri,4358,Ahonen,Liisa,Suomen Kristillisdemokraatit (KD),52,F,0
02 Uudenmaan vaalipiiri,5897,Ahonen,Linda,Suomen Keskusta,0,F,0
06 Hämeen vaalipiiri,4472,ahtola,tero,Itsenäisyyspuolue,38,M,0
07 Pirkanmaan vaalipiiri,4228,Ahvenjärvi,Sauli,Suomen Kristillisdemokraatit (KD),57,M,1
02 Uudenmaan vaalipiiri,5841,Aintila,Anna,Suomen ruotsalainen kansanpuolue,47,F,0
02 Uudenmaan vaalipiiri,5737,Aittakumpu,Birgit,Vasemmistoliitto,41,F,0
10 Vaasan vaalipiiri,5713,Ala-Kokko,Laura,Vihreä liitto,35,F,0
03 Varsinais-Suomen vaalipiiri,5303,Ala-Nissilä,Olavi,Suomen Keskusta,65,M,0
02 Uudenmaan vaalipiiri,5321,Ala-Reinikka,Tapani,Kansallinen Kokoomus,73,M,0
01 Helsingin vaalipiiri,5635,Alametsä,Alviina,Vihreä liitto,22,F,0
01 Helsingin vaalipiiri,5541,Alanko-Kahiluoto,Outi,Vihreä liitto,48,F,1
12 Oulun vaalipiiri,5144,Alasalmi,Asko,Suomen Sosialidemokraattinen Puolue,30,M,0
07 Pirkanmaan vaalipiiri,4528,Alatalo,Mikko,Suomen Keskusta,63,M,1
09 Savo-Karjalan vaalipiiri,5345,Albert,Rauli-Jan,Suomen Keskusta,39,M,0
07 Pirkanmaan vaalipiiri,5984,Alén,Ari,Itsenäisyyspuolue,0,M,0
04 Satakunnan vaalipiiri,5375,Alho,Marja-Leena,Kansallinen Kokoomus,53,F,0
01 Helsingin vaalipiiri,5354,Alhojärvi,Lauri,Suomen Kommunistinen Puolue,31,M,0
10 Vaasan vaalipiiri,5707,Alhonnoro,Lotta,Vihreä liitto,30,F,0
06 Hämeen vaalipiiri,4254,Alijärvi,Pirjo,Suomen Sosialidemokraattinen Puolue,44,F,0
03 Varsinais-Suomen vaalipiiri,5928,Allahmoradi,Mohammadamin,Vasemmistoliitto,55,M,0
01 Helsingin vaalipiiri,5870,Anderson,Nicholas,Suomen ruotsalainen kansanpuolue,0,M,0
03 Varsinais-Suomen vaalipiiri,5107,Andersson ,Li,Vasemmistoliitto,27,F,0
02 Uudenmaan vaalipiiri,4692,Andersson,Niklas,Suomen ruotsalainen kansanpuolue,36,M,0
02 Uudenmaan vaalipiiri,5803,Andersson,Otto ,Suomen ruotsalainen kansanpuolue,31,M,0
06 Hämeen vaalipiiri,4570,Andersson-Bohren,Titta,Kansallinen Kokoomus,30,F,0
08 Kaakkois-Suomen vaalipiiri,4927,Andrejev,Katja,Vihreä liitto,34,F,0
02 Uudenmaan vaalipiiri,4596,Andström,Urpo,Suomen Kristillisdemokraatit (KD),59,M,0
13 Lapin vaalipiiri,5196,Ansala,Liisa,Suomen Keskusta,29,F,0
09 Savo-Karjalan vaalipiiri,5359,Antikainen,Sanna,Perussuomalaiset,26,F,0
07 Pirkanmaan vaalipiiri,4265,Antila,Veli-Matti,Suomen Kristillisdemokraatit (KD),53,M,0
03 Varsinais-Suomen vaalipiiri,4880,Anttila,Satu,Perussuomalaiset,39,F,0
06 Hämeen vaalipiiri,5353,Anttila,Sirkka-Liisa,Suomen Keskusta,71,F,1
01 Helsingin vaalipiiri,4713,Anttila,Timo,Piraattipuolue,33,M,0
01 Helsingin vaalipiiri,5109,Apajalahti,Ahto,Piraattipuolue,26,M,0
01 Helsingin vaalipiiri,4276,Arajärvi,Mirja,Vasemmistoliitto,70,F,0
01 Helsingin vaalipiiri,4315,Arajärvi,Pentti,Suomen Sosialidemokraattinen Puolue,66,M,0
01 Helsingin vaalipiiri,5720,Arhinmäki,Paavo,Vasemmistoliitto,38,M,1
02 Uudenmaan vaalipiiri,5047,Aromaa,Juuso,Vasemmistoliitto,28,M,0
08 Kaakkois-Suomen vaalipiiri,4842,Aromaa,Mika,Piraattipuolue,28,M,0
03 Varsinais-Suomen vaalipiiri,5520,Aronen,Lauri,Vasemmistoliitto,28,M,0
03 Varsinais-Suomen vaalipiiri,5782,Arve,Minna ,Kansallinen Kokoomus,40,F,0
06 Hämeen vaalipiiri,5485,Arvidsson,Teija,Suomen Kristillisdemokraatit (KD),53,F,0
07 Pirkanmaan vaalipiiri,5996,Asell,Marko,Suomen Sosialidemokraattinen Puolue,44,M,0
07 Pirkanmaan vaalipiiri,5617,Asikainen,Lotta,Itsenäisyyspuolue,24,F,0
12 Oulun vaalipiiri,5282,Askeli,Leena,Suomen Kristillisdemokraatit (KD),50,F,0
03 Varsinais-Suomen vaalipiiri,4552,Aso,Janne,Perussuomalaiset,39,M,1
06 Hämeen vaalipiiri,5653,Aspholm,Helge,Itsenäisyyspuolue,61,M,0
07 Pirkanmaan vaalipiiri,4269,Asplund,Kirsi-Maarit,Perussuomalaiset,49,F,0
01 Helsingin vaalipiiri,5698,Auer,Irene,Suomen Kommunistinen Puolue,28,F,0
03 Varsinais-Suomen vaalipiiri,4461,Autero,Henri,Itsenäisyyspuolue,22,M,0
12 Oulun vaalipiiri,4848,Autio,Ari-Matti,Piraattipuolue,28,M,0
13 Lapin vaalipiiri,5340,Autto,Heikki,Kansallinen Kokoomus,30,M,1
09 Savo-Karjalan vaalipiiri,5615,Auvinen,Harri,Vihreä liitto,40,M,0
01 Helsingin vaalipiiri,5876,Auvinen,Tuomas,Suomen Kristillisdemokraatit (KD),28,M,0
03 Varsinais-Suomen vaalipiiri,5042,Auvinen,Ville,Suomen Kristillisdemokraatit (KD),49,M,0
10 Vaasan vaalipiiri,4524,Axell,May-Gret,Suomen Kristillisdemokraatit (KD),63,F,0
10 Vaasan vaalipiiri,5266,Backman,Jan,Vasemmistoliitto,44,M,0
08 Kaakkois-Suomen vaalipiiri,5466,Backman,Jouni,Suomen Sosialidemokraattinen Puolue,55,M,1
02 Uudenmaan vaalipiiri,4577,Baltzar,Veijo,Suomen Sosialidemokraattinen Puolue,72,M,0
03 Varsinais-Suomen vaalipiiri,5700,Baran,Nelli,Suomen Sosialidemokraattinen Puolue,30,F,0
08 Kaakkois-Suomen vaalipiiri,6020,Behm,Sari,Suomen Kristillisdemokraatit (KD),45,F,0
02 Uudenmaan vaalipiiri,4626,Bender,Ann-Katrin,Suomen ruotsalainen kansanpuolue,26,F,0
10 Vaasan vaalipiiri,4496,Berg,Kim,Suomen Sosialidemokraattinen Puolue,40,M,0
13 Lapin vaalipiiri,5219,Berg,Roland,Itsenäisyyspuolue,64,M,0
09 Savo-Karjalan vaalipiiri,5827,Berg-Väänänen,Nelli,Kansallinen Kokoomus,29,F,0
02 Uudenmaan vaalipiiri,5489,Bergh,Alla,Muutos 2011,59,F,0
02 Uudenmaan vaalipiiri,5542,Berner,Anne,Suomen Keskusta,51,F,0
10 Vaasan vaalipiiri,4753,Bertills,Anna,Suomen ruotsalainen kansanpuolue,35,F,0
12 Oulun vaalipiiri,6094,Bespalov,Juri,Suomen Kommunistinen Puolue,0,M,0
01 Helsingin vaalipiiri,6179,Biaudet,Eva,Suomen ruotsalainen kansanpuolue,54,F,0
05 Ahvenanmaan maakunnan vaalipiiri,4847,Birney,Julia,Ahvenanmaan liberaalit,36,F,0
10 Vaasan vaalipiiri,4382,Björklund,Mikaela,Suomen ruotsalainen kansanpuolue,41,F,0
02 Uudenmaan vaalipiiri,4971,Björklöf,Filip,Suomen ruotsalainen kansanpuolue,23,M,0
03 Varsinais-Suomen vaalipiiri,5926,Bland,Anne,Vihreä liitto,0,F,0
